customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count,tenure_days,churn_risk,complaints_total,escalated_any,avg_csat,score_decile
0086-MCYGQ,2024-06-30,Paid,2027-06-30,Standard,Annual,,,15.99,704,16,0,kartik,India,Delhi,Male,1976-06-22,,0,,,800.0,low,0,0,,1
0095-FPXUQ,2026-04-09,Paid,2027-04-09,Premium,Monthly,,,25.99,373,61,0,vishal,India,Haryana,Male,1986-08-23,,0,,,152.0,med,0,0,,8
0102-BYPUA,2025-05-24,Refferal,2027-05-24,Premium,Annual,,,22.99,1053,19,0,tarun,India,Rajasthan,Female,1976-12-21,,0,,,472.0,low,0,0,,1
0123-BNNHG,2023-10-02,Refferal,2026-10-02,Premium,Monthly,,,22.99,1072,43,0,sonal,India,West Bengal,Male,1970-11-02,2025-08-24,0,40.0,1.0,1072.0,low,1,0,40.0,5
0145-LSHWJ,2026-01-07,Refferal,2027-01-07,Standard,Monthly,,,13.99,271,44,0,mayank,India,Delhi,Female,1975-07-13,2026-03-17,0,90.0,1.0,244.0,low,1,0,90.0,5
0158-HCSNZ,2026-06-10,Refferal,2027-06-10,Standard,Monthly,,,13.99,219,47,0,mahesh,India,West Bengal,Male,1976-08-08,,0,,,90.0,low,0,0,,5
0174-XVVBJ,2022-01-08,Organic,2027-01-08,Premium,Annual,,,25.99,1928,27,0,riya,India,Madhya Pradesh,Male,1967-02-18,,0,,,1704.0,low,0,0,,2
0180-RZDHN,2020-10-26,Organic,2026-10-26,Premium,Annual,,,25.99,2349,1,0,farah,India,Maharashtra,Male,1974-03-22,,0,,,2143.0,low,0,0,,1
0187-DFBSY,2025-01-10,Paid,2027-01-10,Standard,Monthly,,,15.99,456,65,0,vikram,India,Delhi,Male,1968-11-04,2026-06-03,1,70.0,2.0,606.0,med,2,1,75.0,8
0210-FXOZF,2022-12-20,Paid,2026-12-20,Premium,Monthly,,,22.99,1225,49,0,mahesh,India,Karnataka,Female,1988-05-31,2025-11-01,0,70.0,1.0,1358.0,low,1,0,70.0,6
0223-WCENP,2022-08-11,Organic,2027-08-11,Premium,Monthly,,,25.99,1808,42,0,riya,India,Tamil Nadu,Male,1998-07-21,,0,,,1489.0,low,0,0,,4
0237-YSGFC,2021-12-08,Paid,2022-12-08,Standard,Monthly,2022-07-19,Poor service quality,15.99,93,56,1,geetha,India,Rajasthan,Male,1996-11-26,2022-03-18,0,60.0,1.0,223.0,med,1,0,60.0,7
0251-HWGHI,2019-09-19,Organic,2026-09-19,Basic,Annual,,,7.99,750,33,0,trisha,India,Uttar Pradesh,Male,1978-05-04,,0,,,2546.0,low,0,0,,3
0256-VTNIV,2020-05-21,Organic,2027-05-21,Basic,Monthly,,,6.99,506,69,0,juhi,India,Telangana,Female,1982-06-20,2022-12-12,0,80.0,1.0,2301.0,med,1,0,80.0,9
0264-DBWGV,2024-06-09,Organic,2026-06-09,Premium,Monthly,2025-11-20,Billing issue,25.99,528,72,1,nandini,India,Delhi,Female,2004-12-01,2025-03-11,1,20.0,3.0,529.0,high,3,1,43.3,9
0266-KTCHG,2019-09-29,Refferal,2026-09-29,Basic,Monthly,,,7.99,698,55,0,keshav,India,Karnataka,Female,1998-07-16,,0,,,2536.0,med,0,0,,7
0302-DSTAN,2026-06-10,Paid,2027-06-10,Standard,Monthly,,,15.99,214,67,0,aditya,India,Delhi,Female,1961-04-09,2026-07-14,0,80.0,1.0,90.0,med,1,0,80.0,9
0318-NCCRS,2019-11-04,Paid,2022-11-04,Standard,Monthly,2022-07-19,Billing issue,15.99,418,58,1,bhavna,India,Punjab,Female,1973-09-04,2020-02-16,0,30.0,1.0,988.0,med,1,0,30.0,7
0320-DBVXD,2025-09-02,Refferal,2027-09-02,Premium,Monthly,,,22.99,516,50,0,yash,India,Telangana,Male,1971-08-25,2026-06-13,1,20.0,2.0,371.0,med,2,1,55.0,6
0324-ROACL,2025-11-16,Refferal,2026-11-16,Premium,Monthly,,,25.99,595,37,0,rohit,India,Tamil Nadu,Female,1998-11-23,2026-04-19,0,80.0,1.0,296.0,low,1,0,80.0,4
0340-IOHPL,2025-11-02,Organic,2026-11-02,Premium,Monthly,,,22.99,502,54,0,prateek,India,Rajasthan,Male,2004-10-19,2026-08-10,0,90.0,2.0,310.0,med,2,1,70.0,6
0351-SNVCC,2025-10-26,Refferal,2026-10-26,Standard,Monthly,2026-06-18,Moved to family plan,13.99,107,62,1,mira,India,Maharashtra,Male,1994-01-09,2026-04-01,1,20.0,1.0,235.0,med,1,1,20.0,8
0353-LUYGQ,2023-05-23,Organic,2027-05-23,Basic,Annual,,,6.99,372,38,0,leela,India,Delhi,Female,1966-05-21,2023-09-03,0,50.0,1.0,1204.0,low,1,0,50.0,4
0359-SJNGJ,2022-02-17,Paid,2025-02-17,Standard,Monthly,2024-07-19,Too expensive,15.99,446,43,1,divya,India,Karnataka,Male,1983-10-30,,0,,,883.0,low,0,0,,5
0366-YBXAU,2021-05-21,Organic,2027-05-21,Basic,Monthly,,,6.99,531,60,0,rahul,India,Odisha,Male,1970-07-10,2022-05-12,0,100.0,1.0,1936.0,med,1,0,100.0,8
0371-VWJVU,2026-07-29,Paid,2027-07-29,Standard,Monthly,,,13.99,152,57,0,aisha,India,West Bengal,Male,1984-10-23,2026-08-13,0,60.0,1.0,41.0,med,1,0,60.0,7
0392-ILUDV,2024-07-30,Paid,2027-07-30,Premium,Annual,,,22.99,1272,21,0,sameer,India,Gujarat,Male,1984-07-24,2025-02-05,0,70.0,1.0,770.0,low,1,0,70.0,1
0407-GOBJD,2025-09-29,Organic,2026-09-29,Standard,Annual,,,15.99,660,20,0,suresh,India,Maharashtra,Female,1979-11-10,,0,,,344.0,low,0,0,,1
0413-LMMXD,2025-08-25,Paid,2027-08-25,Standard,Annual,,,13.99,504,23,0,juhi,India,Karnataka,Male,1961-05-21,,0,,,379.0,low,0,0,,2
0420-XLITB,2021-05-17,Paid,2027-05-17,Standard,Annual,,,15.99,1560,39,0,asha,India,Gujarat,Female,1987-06-08,2024-07-28,0,90.0,1.0,1940.0,low,1,0,90.0,4
0433-CRZAR,2022-02-16,Paid,2027-02-16,Premium,Annual,,,22.99,1831,22,0,amit,India,Tamil Nadu,Male,1979-05-16,,0,,,1665.0,low,0,0,,2
0440-VBKSZ,2025-03-12,Organic,2026-03-12,Standard,Monthly,2025-06-14,Too expensive,15.99,60,58,1,mayank,India,Madhya Pradesh,Female,1963-07-25,,0,,,94.0,med,0,0,,7
0442-WRHUV,2024-07-17,Organic,2027-07-17,Standard,Annual,,,15.99,1029,20,0,sameer,India,Rajasthan,Male,1990-09-20,,0,,,783.0,low,0,0,,1
0448-FHIZU,2020-02-08,Organic,2027-02-08,Basic,Annual,,,6.99,637,29,0,smita,India,Uttar Pradesh,Female,1967-10-03,2024-08-09,0,100.0,1.0,2404.0,low,1,0,100.0,2
0457-TMLNF,2022-08-05,Refferal,2027-08-05,Standard,Monthly,,,15.99,1050,61,0,vaishnavi,India,Rajasthan,Male,1982-10-16,,0,,,1495.0,med,0,0,,8
0459-CWMQP,2024-12-27,Refferal,2026-12-27,Basic,Monthly,,,6.99,254,61,0,sneha,India,Odisha,Male,1965-07-29,2026-01-23,0,80.0,2.0,620.0,med,2,1,70.0,8
0513-GOBZL,2020-01-16,Organic,2021-01-16,Standard,Monthly,2020-03-11,No longer needed,15.99,60,74,1,kiran,India,Uttar Pradesh,Male,1985-07-21,2020-02-27,1,60.0,1.0,55.0,high,1,1,60.0,10
0551-JYBJC,2025-04-10,Paid,2026-04-10,Premium,Monthly,2025-08-17,Too expensive,25.99,103,84,1,dinesh,India,Gujarat,Male,1977-05-01,2025-08-03,1,30.0,1.0,129.0,high,1,1,30.0,10
0556-RVQGT,2024-08-12,Paid,2026-08-12,Basic,Annual,2026-02-05,Poor service quality,7.99,132,47,1,sneha,India,Haryana,Male,1992-12-13,,0,,,542.0,low,0,0,,5
0560-BWVVB,2021-10-03,Refferal,2026-10-03,Standard,Monthly,,,13.99,966,41,0,chitra,India,Delhi,Female,1977-09-21,,0,,,1801.0,low,0,0,,4
0562-NUQWM,2023-01-15,Organic,2027-01-15,Basic,Annual,,,6.99,467,48,0,ananya,India,Haryana,Female,1992-02-25,2023-05-17,0,50.0,1.0,1332.0,low,1,0,50.0,5
0564-FCTZO,2026-03-12,Paid,2027-03-12,Basic,Annual,,,7.99,249,39,0,ruchi,India,Maharashtra,Female,1978-02-02,,0,,,180.0,low,0,0,,4
0569-MGFVV,2020-12-11,Paid,2026-12-11,Basic,Monthly,,,6.99,615,61,0,zoya,India,Gujarat,Male,1970-01-28,2024-05-10,0,80.0,1.0,2097.0,med,1,0,80.0,8
0571-MLGDB,2025-01-23,Organic,2027-01-23,Basic,Monthly,,,7.99,188,60,0,divya,India,Rajasthan,Male,1987-09-13,2025-10-21,0,50.0,1.0,593.0,med,1,0,50.0,8
0592-PERKL,2021-10-06,Organic,2026-10-06,Premium,Annual,,,22.99,1727,10,0,vaishnavi,India,Gujarat,Female,1987-11-13,,0,,,1798.0,low,0,0,,1
0592-VXSWP,2024-04-22,Organic,2027-04-22,Premium,Annual,,,22.99,1355,9,0,rohit,India,Uttar Pradesh,Female,1992-10-21,,0,,,869.0,low,0,0,,1
0598-HRGZC,2021-05-04,Paid,2026-05-04,Standard,Monthly,2025-09-27,Switched to competitor,15.99,900,65,1,akash,India,Gujarat,Male,1972-11-14,,0,,,1607.0,med,0,0,,8
0603-EUNDZ,2020-04-17,Paid,2027-04-17,Standard,Monthly,,,15.99,1224,47,0,nandini,India,Karnataka,Female,1979-01-19,,0,,,2335.0,low,0,0,,5
0603-KMXFM,2021-03-10,Paid,2027-03-10,Premium,Annual,,,22.99,2256,23,0,pooja,India,Karnataka,Male,1983-02-14,,0,,,2008.0,low,0,0,,2
0605-PYPMK,2020-02-17,Organic,2027-02-17,Premium,Annual,,,25.99,3154,18,0,aditya,India,Delhi,Female,2006-03-13,2020-11-02,1,40.0,1.0,2395.0,low,1,1,40.0,1
0607-OGUPU,2022-11-05,Refferal,2024-11-05,Standard,Monthly,2024-03-11,Switched to competitor,15.99,257,49,1,siddharth,India,Telangana,Female,2002-04-11,2023-09-23,0,60.0,1.0,492.0,low,1,0,60.0,6
0612-DLMEK,2026-03-23,Organic,2027-03-23,Basic,Monthly,,,6.99,102,49,0,gaurav,India,Uttar Pradesh,Female,2007-08-30,,0,,,169.0,low,0,0,,6
0660-IRUPW,2022-11-15,Refferal,2026-11-15,Standard,Annual,,,13.99,1109,12,0,mohan,India,Delhi,Male,1967-07-13,2026-07-30,0,60.0,1.0,1393.0,low,1,0,60.0,1
0681-YMCYZ,2023-05-28,Organic,2027-05-28,Premium,Monthly,,,25.99,1580,42,0,anjali,India,Haryana,Female,1967-03-01,,0,,,1199.0,low,0,0,,4
0698-RJDKY,2021-07-27,Refferal,2024-07-27,Basic,Monthly,2024-04-27,Switched to competitor,6.99,206,70,1,kavya,India,Tamil Nadu,Male,2004-03-10,2022-03-30,0,80.0,2.0,1005.0,high,2,0,70.0,9
0716-GZSCT,2024-12-01,Refferal,2026-12-01,Standard,Annual,,,13.99,664,41,0,rohit,India,Uttar Pradesh,Female,2005-06-26,2026-03-24,1,70.0,1.0,646.0,low,1,1,70.0,4
0735-YPGGB,2021-09-21,Refferal,2023-09-21,Basic,Monthly,2022-12-18,Technical problems,7.99,134,61,1,shreya,India,Tamil Nadu,Male,1970-03-03,2022-12-17,0,40.0,1.0,453.0,med,1,0,40.0,8
0777-HOIME,2023-07-18,Refferal,2027-07-18,Standard,Monthly,,,15.99,790,44,0,raghav,India,Karnataka,Female,1982-08-29,,0,,,1148.0,low,0,0,,5
0778-DQWEI,2021-12-01,Organic,2026-12-01,Standard,Annual,,,13.99,920,23,0,nandini,India,West Bengal,Female,1993-08-04,2024-01-24,0,70.0,1.0,1742.0,low,1,0,70.0,2
0779-LCVNI,2023-09-13,Paid,2026-09-13,Basic,Annual,,,6.99,455,55,0,leela,India,Uttar Pradesh,Male,1978-03-02,2026-04-09,0,100.0,2.0,1091.0,med,2,0,95.0,7
0792-TOQOO,2023-12-20,Paid,2026-12-20,Premium,Monthly,2026-04-29,No longer needed,25.99,649,64,1,gaurav,India,Maharashtra,Male,1996-08-17,2025-08-05,0,40.0,4.0,861.0,med,4,0,47.5,8
0793-CLXDL,2025-02-28,Paid,2027-02-28,Premium,Monthly,,,25.99,645,65,0,dinesh,India,Bihar,Female,1998-04-03,2025-08-20,0,60.0,1.0,557.0,med,1,0,60.0,8
0809-KZHDM,2020-10-15,Refferal,2026-10-15,Basic,Annual,,,7.99,613,36,0,anjali,India,Kerala,Male,1990-07-21,,0,,,2154.0,low,0,0,,3
0810-SVWPQ,2026-03-14,Organic,2027-03-14,Premium,Annual,,,25.99,946,12,0,prakash,India,West Bengal,Male,1965-09-15,,0,,,178.0,low,0,0,,1
0833-AITDW,2025-01-02,Paid,2027-01-02,Premium,Annual,,,25.99,1080,20,0,aditya,India,Punjab,Male,1971-10-15,,0,,,614.0,low,0,0,,1
0860-SFCNZ,2023-08-26,Refferal,2027-08-26,Standard,Annual,,,15.99,1038,14,0,shreya,India,Haryana,Male,1998-05-26,,0,,,1109.0,low,0,0,,1
0869-LWUCA,2025-07-31,Organic,2027-07-31,Standard,Annual,,,15.99,672,12,0,suresh,India,Delhi,Female,1981-07-10,,0,,,404.0,low,0,0,,1
0872-KWTQX,2020-02-29,Organic,2027-02-28,Premium,Annual,,,22.99,2444,26,0,ravi,India,Gujarat,Female,1965-08-20,2024-04-28,1,80.0,1.0,2383.0,low,1,1,80.0,2
0877-BADNV,2024-03-25,Organic,2027-03-25,Standard,Annual,,,13.99,804,61,0,aisha,India,Telangana,Male,1962-04-06,2025-12-31,0,80.0,3.0,897.0,med,3,1,86.7,8
0889-OFPRW,2024-12-17,Paid,2026-12-17,Basic,Monthly,,,6.99,232,57,0,neha,India,Delhi,Male,1972-01-02,,0,,,630.0,med,0,0,,7
0893-URLLW,2024-11-18,Refferal,2026-11-18,Basic,Annual,2026-07-29,Technical problems,6.99,144,45,1,aarti,India,Karnataka,Male,2001-11-29,2026-05-30,0,40.0,1.0,618.0,low,1,0,40.0,5
0899-AYEVA,2025-04-28,Organic,2027-04-28,Basic,Annual,,,7.99,308,29,0,anjali,India,Maharashtra,Male,1996-01-16,,0,,,498.0,low,0,0,,2
0906-OUHPA,2021-12-19,Paid,2025-12-19,Standard,Monthly,2025-07-02,Moved to family plan,15.99,609,75,1,zoya,India,Gujarat,Female,1997-05-04,,0,,,1291.0,high,0,0,,10
0911-WKNEQ,2023-04-06,Paid,2024-04-06,Basic,Monthly,2023-08-20,Too expensive,7.99,60,75,1,keshav,India,Rajasthan,Male,2000-06-15,2023-04-23,1,20.0,1.0,136.0,high,1,1,20.0,10
0933-OZCHV,2025-01-16,Paid,2027-01-16,Standard,Annual,,,13.99,630,31,0,geetha,India,Rajasthan,Male,1999-12-28,,0,,,600.0,low,0,0,,3
0983-FTTVC,2020-06-21,Paid,2027-06-21,Standard,Monthly,,,15.99,1439,51,0,farah,India,Delhi,Female,1992-05-28,2025-11-30,0,100.0,1.0,2270.0,med,1,0,100.0,6
0990-QNTPD,2022-01-06,Refferal,2027-01-06,Premium,Annual,,,22.99,2136,6,0,aisha,India,Karnataka,Male,1981-07-27,,0,,,1706.0,low,0,0,,1
1011-WBOGF,2023-10-27,Organic,2025-10-27,Standard,Monthly,2025-02-04,Billing issue,13.99,223,61,1,leela,India,Uttar Pradesh,Female,1988-05-28,,0,,,466.0,med,0,0,,8
1015-GNDMD,2023-01-13,Organic,2027-01-13,Premium,Monthly,,,22.99,1138,47,0,farah,India,Telangana,Male,1987-12-19,,0,,,1334.0,low,0,0,,5
1034-VRNDZ,2022-01-06,Paid,2027-01-06,Premium,Monthly,2026-08-04,Switched to competitor,22.99,932,63,1,lakshmi,India,Haryana,Male,1996-06-15,2025-12-10,0,80.0,1.0,1671.0,med,1,0,80.0,8
1040-YXPZA,2025-08-08,Paid,2026-08-08,Basic,Annual,2025-11-25,Poor service quality,7.99,60,29,1,amit,India,Punjab,Male,2000-06-05,,0,,,109.0,low,0,0,,2
1048-JMSJA,2020-12-07,Paid,2026-12-07,Standard,Monthly,,,13.99,939,61,0,deepak,India,Haryana,Female,1960-09-18,,0,,,2101.0,med,0,0,,8
1067-WJPNT,2024-11-06,Organic,2026-11-06,Basic,Annual,,,6.99,306,33,0,ravindra,India,Punjab,Female,1979-12-14,2026-07-17,0,100.0,2.0,671.0,low,2,0,80.0,3
1068-BKYRC,2026-06-24,Organic,2027-06-24,Premium,Monthly,,,22.99,319,55,0,deepak,India,Bihar,Male,1996-01-13,2026-07-30,1,50.0,2.0,76.0,med,2,1,50.0,7
1094-NIQSW,2022-12-22,Refferal,2026-12-22,Standard,Monthly,,,15.99,897,47,0,akash,India,Uttar Pradesh,Male,1969-04-18,,0,,,1356.0,low,0,0,,5
1110-TAUBF,2020-06-13,Organic,2025-06-13,Basic,Monthly,2024-08-15,Moved to family plan,6.99,428,73,1,vikram,India,Maharashtra,Male,1968-05-20,2021-08-04,1,10.0,1.0,1524.0,high,1,1,10.0,10
1111-NHMAI,2021-06-20,Paid,2026-06-20,Basic,Monthly,2026-04-27,Technical problems,6.99,430,80,1,abhishek,India,Maharashtra,Female,1961-03-28,2022-12-06,1,20.0,1.0,1772.0,high,1,1,20.0,10
1122-CMFKL,2024-06-28,Paid,2027-06-28,Standard,Annual,,,13.99,900,38,0,harsh,India,Tamil Nadu,Female,2000-05-02,,0,,,802.0,low,0,0,,4
1122-RXRTG,2023-11-08,Organic,2026-11-08,Premium,Annual,,,22.99,1498,25,0,neha,India,Delhi,Female,1977-11-13,,0,,,1035.0,low,0,0,,2
1130-PHFNK,2022-06-12,Organic,2027-06-12,Premium,Monthly,,,25.99,1818,55,0,pallavi,India,Karnataka,Female,1960-07-20,,0,,,1549.0,med,0,0,,7
1131-GYOII,2025-01-11,Organic,2027-01-11,Basic,Monthly,,,6.99,207,48,0,prateek,India,Bihar,Male,1969-02-11,,0,,,605.0,low,0,0,,5
1146-HOXWE,2020-11-06,Paid,2026-11-06,Basic,Annual,,,6.99,585,71,0,neha,India,Karnataka,Female,1997-09-18,2024-08-12,0,60.0,2.0,2132.0,high,2,1,60.0,9
1154-KLZHF,2024-08-02,Organic,2027-08-02,Standard,Annual,,,13.99,678,41,0,divya,India,Bihar,Female,1965-01-12,,0,,,767.0,low,0,0,,4
1154-TGNRP,2025-02-22,Paid,2027-02-22,Standard,Monthly,2026-04-25,Poor service quality,13.99,196,55,1,yash,India,Rajasthan,Male,1987-12-10,,0,,,427.0,med,0,0,,7
1165-QCIPR,2026-01-04,Organic,2027-01-04,Basic,Annual,,,6.99,220,18,0,mira,India,Gujarat,Female,1984-09-03,,0,,,247.0,low,0,0,,1
1183-ZIIHL,2021-10-02,Organic,2026-10-02,Basic,Monthly,,,6.99,432,43,0,chitra,India,Gujarat,Male,1981-08-27,,0,,,1802.0,low,0,0,,5
1189-HGRSS,2026-07-05,Organic,2027-07-05,Premium,Monthly,,,25.99,358,42,0,imran,India,Delhi,Female,1970-05-22,,0,,,65.0,low,0,0,,4
1206-PISML,2020-12-14,Organic,2026-12-14,Standard,Annual,,,15.99,1333,48,0,nisha,India,Gujarat,Female,2002-10-30,2023-10-05,0,90.0,2.0,2094.0,low,2,0,90.0,5
1216-MUVST,2019-10-05,Organic,2026-10-05,Standard,Annual,,,13.99,1246,24,0,harsh,India,Karnataka,Female,1982-10-11,2024-04-02,0,60.0,1.0,2530.0,low,1,0,60.0,2
1218-UEYCS,2025-11-24,Refferal,2026-11-24,Standard,Annual,,,13.99,429,25,0,lalita,India,Madhya Pradesh,Male,1968-05-05,2026-07-01,0,80.0,2.0,288.0,low,2,0,80.0,2
1219-TSUTI,2026-01-01,Organic,2027-01-01,Standard,Monthly,,,13.99,261,54,0,gaurav,India,Delhi,Male,1981-09-20,2026-07-29,0,80.0,2.0,250.0,med,2,0,90.0,6
1229-XXUJB,2020-01-14,Paid,2027-01-14,Standard,Monthly,,,15.99,1279,42,0,mohan,India,Delhi,Female,1994-02-16,,0,,,2429.0,low,0,0,,4
1231-LBQIF,2025-10-19,Paid,2026-10-19,Basic,Annual,,,6.99,249,49,0,vivek,India,West Bengal,Female,2005-02-18,,0,,,324.0,low,0,0,,6
1237-OKEQI,2023-10-15,Paid,2025-10-15,Basic,Monthly,2025-07-20,Too expensive,6.99,159,69,1,sneha,India,Gujarat,Male,1981-09-13,2024-09-23,0,50.0,1.0,644.0,med,1,0,50.0,9
1241-GCSQZ,2020-06-27,Paid,2024-06-27,Premium,Monthly,2023-08-23,Poor service quality,22.99,930,67,1,sonal,India,Uttar Pradesh,Female,1974-06-12,,0,,,1152.0,med,0,0,,9
1249-EFCIO,2025-09-12,Organic,2026-09-12,Premium,Annual,,,22.99,801,25,0,akash,India,Gujarat,Male,1981-09-02,,0,,,361.0,low,0,0,,2
1254-IOUAY,2021-12-18,Paid,2026-12-18,Standard,Monthly,2026-04-22,Poor service quality,15.99,703,63,1,nisha,India,Karnataka,Female,1960-08-29,,0,,,1586.0,med,0,0,,8
1263-ONUZR,2023-12-19,Organic,2025-12-19,Basic,Monthly,2025-01-25,Poor service quality,7.99,98,72,1,kabir,India,Gujarat,Female,1979-05-03,2024-04-20,1,40.0,1.0,403.0,high,1,1,40.0,9
1321-HIRZV,2023-08-02,Paid,2027-08-02,Basic,Monthly,,,6.99,364,55,0,ananya,India,Delhi,Male,1983-09-18,,0,,,1133.0,med,0,0,,7
1323-NEILO,2020-01-23,Organic,2027-01-23,Basic,Annual,,,7.99,933,20,0,dinesh,India,Delhi,Male,2005-11-08,,0,,,2420.0,low,0,0,,1
1327-BOHLD,2022-01-25,Paid,2027-01-25,Premium,Monthly,,,25.99,1799,37,0,suresh,India,Karnataka,Female,1981-09-29,,0,,,1687.0,low,0,0,,4
1328-FWZTC,2024-05-31,Paid,2027-05-31,Premium,Monthly,,,22.99,1007,69,0,bhavna,India,Delhi,Female,1999-01-28,2025-04-29,0,60.0,2.0,830.0,med,2,0,70.0,9
1332-OKMVP,2020-01-13,Paid,2027-01-13,Standard,Monthly,,,13.99,1534,67,0,dinesh,India,Delhi,Female,1973-09-29,2026-08-17,1,80.0,1.0,2430.0,med,1,1,80.0,9
1334-ARUTU,2022-07-22,Organic,2026-07-22,Premium,Monthly,2026-03-28,Moved to family plan,22.99,957,76,1,aarti,India,Uttar Pradesh,Male,2000-08-22,2025-11-18,1,40.0,3.0,1345.0,high,3,1,36.7,10
1338-LJAFN,2025-12-24,Paid,2026-12-24,Basic,Monthly,2026-04-23,Moved to family plan,6.99,60,82,1,shreya,India,Karnataka,Female,1964-05-17,2026-03-16,0,30.0,3.0,120.0,high,3,0,43.3,10
1354-HITHW,2023-11-23,Paid,2026-11-23,Standard,Annual,,,13.99,806,29,0,divya,India,Karnataka,Male,1993-11-26,,0,,,1020.0,low,0,0,,2
1365-QQCRX,2024-12-14,Paid,2026-12-14,Basic,Monthly,2026-03-30,Technical problems,7.99,139,56,1,nandini,India,Telangana,Male,1987-09-27,,0,,,471.0,med,0,0,,7
1370-BWYTD,2022-02-11,Organic,2027-02-11,Basic,Monthly,,,7.99,571,59,0,aarti,India,Maharashtra,Male,2001-10-30,,0,,,1670.0,med,0,0,,7
1378-NXJBZ,2020-07-25,Organic,2027-07-25,Premium,Monthly,,,22.99,1481,43,0,ravindra,India,West Bengal,Female,1997-01-29,2024-11-02,0,50.0,1.0,2236.0,low,1,0,50.0,5
1392-YVDUD,2026-05-30,Organic,2027-05-30,Premium,Monthly,,,25.99,329,54,0,tanvi,India,Madhya Pradesh,Female,1963-01-27,,0,,,101.0,med,0,0,,6
1397-VOYLF,2021-02-17,Paid,2027-02-17,Basic,Monthly,2026-03-06,Poor service quality,7.99,413,70,1,girish,India,Tamil Nadu,Female,1994-04-02,2025-04-14,0,60.0,3.0,1843.0,high,3,0,63.3,9
1400-JQZAS,2020-03-01,Paid,2024-03-01,Basic,Annual,2023-10-06,Too expensive,6.99,237,63,1,ruchi,India,Haryana,Female,1983-10-04,2023-09-30,1,20.0,2.0,1314.0,med,2,1,35.0,8
1402-PCQQC,2019-08-11,Paid,2027-08-11,Standard,Annual,,,13.99,1716,42,0,isha,India,Maharashtra,Male,1960-05-22,,0,,,2585.0,low,0,0,,4
1410-SFPYY,2021-12-24,Paid,2023-12-24,Basic,Annual,2023-06-24,No longer needed,6.99,157,45,1,sunita,India,Maharashtra,Male,1978-05-06,2022-02-21,0,40.0,1.0,547.0,low,1,0,40.0,5
1426-VVTJM,2024-06-14,Paid,2025-06-14,Standard,Monthly,2024-08-22,Too expensive,13.99,60,65,1,zoya,India,West Bengal,Male,2006-02-19,,0,,,69.0,med,0,0,,8
1441-STKYQ,2025-08-27,Paid,2027-08-27,Standard,Annual,,,13.99,592,43,0,nisha,India,Rajasthan,Male,1990-11-06,2026-05-28,0,90.0,1.0,377.0,low,1,0,90.0,5
1442-KINNA,2019-12-18,Paid,2026-12-18,Basic,Annual,,,7.99,1004,53,0,raghav,India,Punjab,Male,1989-04-08,,0,,,2456.0,med,0,0,,6
